,Source,Sink,Time,Value
297,SCE,PGE_valley,10,0.0
298,SCE,PGE_valley,11,0.0
299,SCE,PGE_valley,12,0.0
300,SCE,PGE_valley,13,0.0
301,SCE,PGE_valley,14,0.0
302,SCE,PGE_valley,15,0.0
303,SCE,PGE_valley,16,0.0
304,SCE,PGE_valley,17,0.0
305,SCE,PGE_valley,18,0.0
306,SCE,PGE_valley,19,0.0
307,SCE,PGE_valley,20,0.0
308,SCE,PGE_valley,21,0.0
309,SCE,PGE_valley,22,0.0
310,SCE,PGE_valley,23,0.0
311,SCE,PGE_valley,24,0.0
312,SCE,PGE_bay,1,0.0
313,SCE,PGE_bay,2,0.0
314,SCE,PGE_bay,3,0.0
315,SCE,PGE_bay,4,0.0
316,SCE,PGE_bay,5,0.0
317,SCE,PGE_bay,6,0.0
318,SCE,PGE_bay,7,0.0
319,SCE,PGE_bay,8,0.0
320,SCE,PGE_bay,9,0.0
321,SCE,PGE_bay,10,0.0
322,SCE,PGE_bay,11,0.0
323,SCE,PGE_bay,12,0.0
324,SCE,PGE_bay,13,0.0
325,SCE,PGE_bay,14,0.0
326,SCE,PGE_bay,15,0.0
327,SCE,PGE_bay,16,0.0
328,SCE,PGE_bay,17,0.0
329,SCE,PGE_bay,18,0.0
330,SCE,PGE_bay,19,0.0
331,SCE,PGE_bay,20,0.0
332,SCE,PGE_bay,21,0.0
333,SCE,PGE_bay,22,0.0
334,SCE,PGE_bay,23,0.0
335,SCE,PGE_bay,24,0.0
336,SCE,SDGE,1,0.0
337,SCE,SDGE,2,0.0
338,SCE,SDGE,3,0.0
339,SCE,SDGE,4,0.0
340,SCE,SDGE,5,0.0
341,SCE,SDGE,6,0.0
342,SCE,SDGE,7,0.0
343,SCE,SDGE,8,0.0
344,SCE,SDGE,9,0.0
345,SCE,SDGE,10,0.0
346,SCE,SDGE,11,0.0
347,SCE,SDGE,12,0.0
348,SCE,SDGE,13,0.0
349,SCE,SDGE,14,0.0
350,SCE,SDGE,15,0.0
351,SCE,SDGE,16,0.0
352,SCE,SDGE,17,0.0
353,SCE,SDGE,18,10.693775636672132
354,SCE,SDGE,19,360.60533884367464
355,SCE,SDGE,20,511.4950404312194
356,SCE,SDGE,21,483.99853905213075
357,SCE,SDGE,22,403.9932401941359
358,SCE,SDGE,23,221.33292788611453
359,SCE,SDGE,24,0.0
360,SCE,SCE,1,0.0
361,SCE,SCE,2,0.0
362,SCE,SCE,3,0.0
363,SCE,SCE,4,0.0
364,SCE,SCE,5,0.0
365,SCE,SCE,6,0.0
366,SCE,SCE,7,0.0
367,SCE,SCE,8,0.0
368,SCE,SCE,9,0.0
369,SCE,SCE,10,0.0
370,SCE,SCE,11,0.0
371,SCE,SCE,12,0.0
372,SCE,SCE,13,0.0
373,SCE,SCE,14,0.0
374,SCE,SCE,15,0.0
375,SCE,SCE,16,0.0
376,SCE,SCE,17,0.0
377,SCE,SCE,18,0.0
378,SCE,SCE,19,0.0
379,SCE,SCE,20,0.0
380,SCE,SCE,21,0.0
381,SCE,SCE,22,0.0
382,SCE,SCE,23,0.0
383,SCE,SCE,24,0.0
384,PGE_valley,PGE_valley,25,0.0
385,PGE_valley,PGE_valley,26,0.0
386,PGE_valley,PGE_valley,27,0.0
387,PGE_valley,PGE_valley,28,0.0
388,PGE_valley,PGE_valley,29,0.0
389,PGE_valley,PGE_valley,30,0.0
390,PGE_valley,PGE_valley,31,0.0
391,PGE_valley,PGE_valley,32,0.0
392,PGE_valley,PGE_valley,33,0.0
393,PGE_valley,PGE_valley,34,0.0
394,PGE_valley,PGE_valley,35,0.0
395,PGE_valley,PGE_valley,36,0.0
396,PGE_valley,PGE_valley,37,0.0
397,PGE_valley,PGE_valley,38,0.0
398,PGE_valley,PGE_valley,39,0.0
399,PGE_valley,PGE_valley,40,0.0
400,PGE_valley,PGE_valley,41,0.0
401,PGE_valley,PGE_valley,42,0.0
402,PGE_valley,PGE_valley,43,0.0
403,PGE_valley,PGE_valley,44,0.0
404,PGE_valley,PGE_valley,45,0.0
405,PGE_valley,PGE_valley,46,0.0
406,PGE_valley,PGE_valley,47,0.0
407,PGE_valley,PGE_valley,48,0.0
408,PGE_valley,PGE_bay,25,3445.64275112535
409,PGE_valley,PGE_bay,26,3299.872503372469
410,PGE_valley,PGE_bay,27,3165.711148447265
411,PGE_valley,PGE_bay,28,3024.824401841924
412,PGE_valley,PGE_bay,29,3041.8695161324026
413,PGE_valley,PGE_bay,30,3125.5304932770264
414,PGE_valley,PGE_bay,31,3336.05155065992
415,PGE_valley,PGE_bay,32,3796.230264826702
416,PGE_valley,PGE_bay,33,3966.0901524954343
417,PGE_valley,PGE_bay,34,4120.065056870303
418,PGE_valley,PGE_bay,35,4138.862372860532
419,PGE_valley,PGE_bay,36,3970.4408708880164
420,PGE_valley,PGE_bay,37,3913.957737397147
421,PGE_valley,PGE_bay,38,3818.2544693850136
422,PGE_valley,PGE_bay,39,3872.063953096469
423,PGE_valley,PGE_bay,40,3805.3805416463288
424,PGE_valley,PGE_bay,41,4000.8482392325923
425,PGE_valley,PGE_bay,42,4150.255153824161
426,PGE_valley,PGE_bay,43,4602.051224356073
427,PGE_valley,PGE_bay,44,4567.781440705294
428,PGE_valley,PGE_bay,45,4474.397970058466
429,PGE_valley,PGE_bay,46,4259.604666999307
430,PGE_valley,PGE_bay,47,3992.6826412004575
431,PGE_valley,PGE_bay,48,3643.8233835251626
432,PGE_valley,SDGE,25,0.0
433,PGE_valley,SDGE,26,0.0
434,PGE_valley,SDGE,27,0.0
435,PGE_valley,SDGE,28,0.0
436,PGE_valley,SDGE,29,0.0
437,PGE_valley,SDGE,30,0.0
